# file	surface_cmp	score_literals	score_additions
src/analysis/adjective_candidates.h	0	0	0
src/analysis/adjective_candidates_hiragana.cpp	0	9	0
src/analysis/adjective_candidates_hiragana_scan.cpp	6	8	0
src/analysis/adjective_candidates_internal.cpp	0	0	0
src/analysis/adjective_candidates_internal.h	0	0	0
src/analysis/adjective_candidates_kanji.cpp	0	14	0
src/analysis/adjective_candidates_kanji_compound.cpp	0	1	0
src/analysis/adjective_candidates_kanji_special.cpp	0	2	0
src/analysis/adjective_candidates_kanji_variants.cpp	0	1	0
src/analysis/adjective_candidates_na.cpp	0	2	0
src/analysis/adjective_candidates_stem.cpp	0	13	0
src/analysis/analyzer.cpp	0	0	0
src/analysis/analyzer.h	0	0	0
src/analysis/bigram_table.cpp	0	1	0
src/analysis/bigram_table.h	0	18	0
src/analysis/bigram_table_aux_noun.cpp	0	6	0
src/analysis/bigram_table_internal.h	0	3	0
src/analysis/bigram_table_nominal_particles.cpp	0	0	0
src/analysis/bigram_table_particle_lexical.cpp	0	7	0
src/analysis/bigram_table_particle_penalties.cpp	0	0	0
src/analysis/bigram_table_verb_adj.cpp	0	5	0
src/analysis/candidate_constants.h	0	176	0
src/analysis/candidate_options.h	0	35	0
src/analysis/category_cost.h	0	107	0
src/analysis/compound_verb_emit.cpp	0	7	0
src/analysis/compound_verb_forms.cpp	0	0	0
src/analysis/compound_verb_match.cpp	0	4	0
src/analysis/compound_verb_verify.cpp	0	0	0
src/analysis/compound_verb_voice.cpp	0	0	0
src/analysis/dictionary_probe.cpp	0	0	0
src/analysis/dictionary_probe.h	0	0	0
src/analysis/join_candidates.h	0	0	0
src/analysis/join_compound_verb.cpp	0	0	0
src/analysis/join_compound_verb_hiragana.cpp	0	0	0
src/analysis/join_compound_verb_internal.h	0	1	0
src/analysis/join_compound_verb_lexicon.cpp	0	0	0
src/analysis/join_noun.cpp	0	6	0
src/analysis/join_te_aux.cpp	0	1	0
src/analysis/scorer.cpp	0	186	0
src/analysis/scorer.h	0	23	0
src/analysis/scorer_bigram_overrides.h	0	0	0
src/analysis/scorer_boundary_cost.cpp	0	0	0
src/analysis/scorer_connection_cost.cpp	37	23	52
src/analysis/scorer_connection_rules.h	0	0	0
src/analysis/scorer_connection_rules_honorific.cpp	13	2	36
src/analysis/scorer_connection_rules_internal.h	0	0	0
src/analysis/scorer_connection_rules_lexical.cpp	6	1	52
src/analysis/scorer_connection_rules_negative.cpp	6	1	33
src/analysis/scorer_connection_rules_particle.cpp	6	2	26
src/analysis/scorer_connection_rules_renyokei.cpp	8	4	97
src/analysis/scorer_connection_rules_suffix.cpp	1	8	68
src/analysis/scorer_connection_rules_verb.cpp	8	0	12
src/analysis/scorer_connection_rules_voice.cpp	2	2	28
src/analysis/scorer_constants.h	0	90	0
src/analysis/scorer_options_loader.cpp	0	2	0
src/analysis/scorer_options_loader.h	0	0	0
src/analysis/scorer_word_cost.cpp	5	26	9
src/analysis/split_candidates.cpp	0	9	0
src/analysis/split_candidates.h	0	1	0
src/analysis/suffix_candidates.h	0	0	0
src/analysis/suffix_candidates_compound.cpp	0	10	0
src/analysis/suffix_candidates_counter.cpp	0	6	0
src/analysis/suffix_candidates_counter_internal.h	0	0	0
src/analysis/suffix_candidates_counter_numeral.cpp	0	1	0
src/analysis/suffix_candidates_counter_structural.cpp	0	0	0
src/analysis/suffix_candidates_counter_temporal.cpp	0	0	0
src/analysis/suffix_candidates_nominalized.cpp	0	5	0
src/analysis/suffix_candidates_prefix.cpp	0	5	0
src/analysis/suffix_candidates_suffix.cpp	0	12	0
src/analysis/tokenizer.cpp	0	0	0
src/analysis/tokenizer.h	0	0	0
src/analysis/tokenizer_dictionary.cpp	0	5	0
src/analysis/tokenizer_dictionary_internal.h	0	0	0
src/analysis/tokenizer_dictionary_special.cpp	0	0	0
src/analysis/tokenizer_unknown.cpp	0	7	0
src/analysis/tokenizer_utils.cpp	0	0	0
src/analysis/tokenizer_utils.h	0	0	0
src/analysis/unknown.cpp	0	29	0
src/analysis/unknown.h	0	6	0
src/analysis/unknown_same_type.cpp	0	22	0
src/analysis/unknown_speech.cpp	2	13	0
src/analysis/verb_candidates.cpp	0	11	0
src/analysis/verb_candidates.h	0	0	0
src/analysis/verb_candidates_contracted_conditional.cpp	0	0	0
src/analysis/verb_candidates_helpers.cpp	0	0	0
src/analysis/verb_candidates_helpers.h	0	1	0
src/analysis/verb_candidates_helpers_dictionary.cpp	1	0	0
src/analysis/verb_candidates_helpers_emphatic.cpp	0	0	0
src/analysis/verb_candidates_hiragana.cpp	0	0	0
src/analysis/verb_candidates_hiragana_derived.cpp	0	6	0
src/analysis/verb_candidates_hiragana_inflection.cpp	8	23	0
src/analysis/verb_candidates_hiragana_internal.h	0	0	0
src/analysis/verb_candidates_hiragana_mizenkei.cpp	0	3	0
src/analysis/verb_candidates_hiragana_mizenkei_negative.cpp	0	8	0
src/analysis/verb_candidates_hiragana_onbin.cpp	0	4	0
src/analysis/verb_candidates_hiragana_subsidiary.cpp	0	0	0
src/analysis/verb_candidates_hiragana_suru.cpp	0	0	0
src/analysis/verb_candidates_kanji.cpp	1	6	0
src/analysis/verb_candidates_kanji_classical.cpp	0	0	0
src/analysis/verb_candidates_kanji_derived.cpp	0	8	0
src/analysis/verb_candidates_kanji_finalization.cpp	2	13	0
src/analysis/verb_candidates_kanji_ichidan.cpp	0	9	0
src/analysis/verb_candidates_kanji_inflection.cpp	1	1	0
src/analysis/verb_candidates_kanji_internal.h	0	0	0
src/analysis/verb_candidates_kanji_mizenkei.cpp	0	18	0
src/analysis/verb_candidates_kanji_onbin.cpp	0	11	0
src/analysis/verb_candidates_kanji_onbin_extended.cpp	0	2	0
src/analysis/verb_candidates_kanji_renyokei.cpp	0	13	0
src/core/debug.h	0	0	0
src/core/edge_flags.h	0	0	0
src/core/error.h	0	0	0
src/core/kana_constants.h	0	0	0
src/core/lattice.h	0	3	0
src/core/morpheme.h	0	1	0
src/core/text_boundaries.h	0	0	0
src/core/types.h	0	0	0
src/core/utf8_constants.h	0	0	0
src/core/viterbi.h	1	6	0
src/grammar/auxiliaries.cpp	0	0	0
src/grammar/auxiliaries.h	0	0	0
src/grammar/auxiliary_generator.cpp	0	0	0
src/grammar/auxiliary_generator.h	0	0	0
src/grammar/char_patterns.cpp	37	0	0
src/grammar/char_patterns.h	0	0	0
src/grammar/conjugation.cpp	0	0	0
src/grammar/conjugation.h	0	0	0
src/grammar/conjugator.cpp	0	0	0
src/grammar/conjugator.h	0	0	0
src/grammar/connection.h	0	0	0
src/grammar/dictionary_expansion.cpp	0	0	0
src/grammar/dictionary_expansion.h	0	0	0
src/grammar/honorific_verbs.cpp	0	0	0
src/grammar/honorific_verbs.h	0	0	0
src/grammar/inflection.cpp	0	7	0
src/grammar/inflection.h	0	3	0
src/grammar/inflection_scorer.cpp	0	0	0
src/grammar/inflection_scorer.h	0	2	0
src/grammar/inflection_scorer_constants.h	0	88	0
src/grammar/inflection_scorer_form_potential.cpp	0	0	0
src/grammar/inflection_scorer_internal.h	0	1	0
src/grammar/inflection_scorer_stem_godan.cpp	0	1	0
src/grammar/patterns.cpp	0	0	0
src/grammar/patterns.h	0	0	0
src/grammar/verb_endings.cpp	0	0	0
src/grammar/verb_endings.h	0	0	0
src/postprocess/lemmatizer.cpp	0	0	0
src/postprocess/lemmatizer.h	0	0	0
src/postprocess/lemmatizer_batch.cpp	6	0	0
src/postprocess/lemmatizer_conj_form.cpp	5	0	0
src/postprocess/lemmatizer_grammar.cpp	1	1	0
src/postprocess/lemmatizer_internal.h	0	0	0
src/postprocess/lemmatizer_rules.cpp	2	0	0
src/postprocess/postprocessor.cpp	7	0	0
src/postprocess/postprocessor.h	0	0	0
src/postprocess/postprocessor_internal.h	0	0	0
src/postprocess/postprocessor_numeric.cpp	1	0	0
src/postprocess/postprocessor_resolvers_appearance.cpp	57	0	0
src/postprocess/postprocessor_resolvers_common.cpp	0	0	0
src/postprocess/postprocessor_resolvers_internal.h	0	0	0
src/postprocess/postprocessor_resolvers_nominal.cpp	28	0	0
src/postprocess/postprocessor_resolvers_stages.cpp	53	0	0
src/postprocess/postprocessor_resolvers_verb.cpp	34	0	0
src/postprocess/tag_generator.cpp	0	0	0
src/postprocess/tag_generator.h	0	0	0
